,1y Target Est,52 Week Range,Ask,Avg. Volume,Beta (5Y Monthly),Bid,Date,Day's Range,EPS (TTM),Earnings Date,Ex-Dividend Date,Forward Dividend & Yield,Market Cap,Name,Open,PE Ratio (TTM),Previous Close,Sector,Ticker,Volume,5y Average Return,Average for Category,Category,Expense Ratio (net),Holdings Turnover,Inception Date,Last Cap Gain,Last Dividend,Morningstar Rating,Morningstar Risk Rating,Net Assets,Sustainability Rating,YTD Return,Yield
0,197.12,148.80 - 208.95,203.90 x 800,"2,240,457",0.96,203.72 x 800,06/08/2021,201.14 - 204.04,9.77,"Jul 27, 2021","May 20, 2021",5.92 (2.91%),118.016B,3M Company,202.00,20.83,203.73,Industrials,MMM,"1,641,962",,,,,,,,,,,,,,
1,70.67,43.88 - 73.05,68.35 x 800,"1,137,773",1.04,68.34 x 800,06/08/2021,67.75 - 68.70,2.40,"Jul 28, 2021 - Aug 02, 2021","Apr 29, 2021",1.04 (1.52%),10.974B,A.O. Smith Corp,68.44,28.48,68.20,Industrials,AOS,"1,074,026",,,,,,,,,,,,,,
2,125.81,86.16 - 128.54,107.88 x 900,"5,773,653",0.68,107.50 x 800,06/08/2021,107.82 - 110.50,3.19,"Jul 14, 2021 - Jul 19, 2021","Apr 14, 2021",1.80 (1.64%),191.719B,Abbott Laboratories,110.50,33.81,110.00,Health Care,ABT,"8,074,727",,,,,,,,,,,,,,
3,123.82,79.11 - 118.28,112.40 x 800,"7,051,195",0.81,112.38 x 3000,06/08/2021,111.82 - 113.09,2.91,"Jul 29, 2021 - Aug 02, 2021","Apr 14, 2021",5.20 (4.60%),198.417B,AbbVie Inc.,112.68,38.57,113.01,Health Care,ABBV,"3,718,004",,,,,,,,,,,,,,
4,374.00,234.00 - 387.40,289.45 x 3100,"276,026",1.28,281.28 x 900,06/08/2021,284.43 - 295.00,4.94,"Aug 04, 2021 - Aug 09, 2021",N/A,N/A (N/A),13.098B,Abiomed,292.09,58.54,291.15,Health Care,ABMD,"263,309",,,,,,,,,,,,,,
5,299.92,194.83 - 294.50,285.60 x 1000,"2,040,959",1.09,279.63 x 900,06/08/2021,280.92 - 283.48,8.45,"Jun 24, 2021","Apr 14, 2021",3.52 (1.25%),178.903B,Accenture,282.00,33.31,282.19,Information Technology,ACN,"1,321,418",,,,,,,,,,,,,,
6,116.69,70.23 - 104.53,96.93 x 800,"5,708,701",0.61,96.85 x 800,06/08/2021,96.59 - 97.61,2.96,"Aug 02, 2021 - Aug 06, 2021","Apr 14, 2021",0.47 (0.48%),75.215B,Activision Blizzard,97.45,32.70,97.12,Communication Services,ATVI,"2,596,873",,,,,,,,,,,,,,
7,570.53,387.37 - 536.88,510.04 x 900,"2,322,892",0.95,505.36 x 800,06/08/2021,508.07 - 516.29,11.49,"Jun 17, 2021","Mar 24, 2005",N/A (N/A),243.398B,Adobe Inc.,511.15,44.33,509.47,Information Technology,ADBE,"1,747,779",,,,,,,,,,,,,,
8,217.75,130.33 - 210.18,198.49 x 800,"874,554",1.37,198.36 x 1100,06/08/2021,193.37 - 198.74,7.14,"Aug 16, 2021 - Aug 20, 2021","Jun 17, 2021",4.00 (2.07%),12.948B,Advance Auto Parts,193.37,27.71,193.01,Consumer Discretionary,AAP,"1,305,753",,,,,,,,,,,,,,
9,104.34,48.42 - 99.23,80.90 x 1400,"44,074,932",2.03,80.84 x 2900,06/08/2021,80.46 - 82.64,2.38,"Jul 26, 2021 - Jul 30, 2021","Apr 27, 1995",N/A (N/A),98.283B,Advanced Micro Devices,81.87,33.96,81.35,Information Technology,AMD,"26,956,625",,,,,,,,,,,,,,
